시설명,시도명,시군구명,주소,전화번호,데이터기준일자
홍성남자단기청소년쉼터,충남,홍성군,충남 홍성군 홍성읍 의사로36번길 49 다기능복지센터 3층,041-634-6564,2022-07-31
논산꿈이레여자단기청소년쉼터,충남,논산시,충남 논산시 은진면 원앙로 1348번길 97,041-735-1075,2022-07-31
아산시여자단기청소년쉼터,충남,아산시,충남 아산시 신창면 서부북로 896-36,041-534-1388,2022-07-31
천안여자단기청소년쉼터,충남,천안시,충남 천안시 서북구 쌍용14길 77,041-576-1316,2022-07-31
홍성여자단기청소년쉼터,충남,홍성군,충남 홍성군 홍성읍 의사로36번길 49 다기능복지센터 4층,041-631-6560,2022-07-31
공주시남자중장기청소년쉼터,충남,공주시,충남 공주시 백미고을길 5-1(금성동),041-853-1337,2022-07-31
공주시여자중장기청소년쉼터,충남,공주시,충남 공주시 버드나무1길 64 (옥룡동),041-853-4486,2022-07-31
익산일시청소년쉼터(디딤돌),전북,익산시,전북 익산시 고봉로28길 31(영등동) 3층,063-857-1091,2022-07-31
전주한울안남자단기청소년쉼터,전북,전주시,"전북 전주시 완산구 범안1길 26-8, 402호",063-251-3530,2022-07-31
전주푸른여자단기청소년쉼터,전북,전주시,전북 전주시 덕진구 무삼지3길 5-6(인후동1가),063-903-1091,2022-07-31
전주임마누엘남자중장기청소년쉼터,전북,전주시,전북 전주시 덕진구 진버들6길 30-22(우아동 2가),063-244-1774,2022-07-31
군산꽃동산여자중장기청소년쉼터,전북,군산시,전북 군산시 검다메안길6-6(2층),063-451-1091,2022-07-31
군산남자단기청소년쉼터,전북,군산시,"전북 군산시 상나운로 37, 현대백조상가 2층",063-471-1091,2022-07-31
목포남자단기청소년쉼터,전남,목포시,"전남 목포시 호남로52번길 19-1, 3~4층",061-278-1388,2022-07-31
여수시남자단기청소년쉼터,전남,여수시,"전남 여수시 대교로 51, 2층",061-644-0918,2022-07-31
여수시여자단기청소년쉼터,전남,여수시,"전남 여수시 무선3길 2, 3층",061-661-0924,2022-07-31
목포남자중장기청소년쉼터,전남,목포시,전남 목포시 산정로 69 (산정동),061-287-1388,2022-07-31
경상북도청소년남자쉼터,경북,구미시,경북 구미시 형곡로 34길 31(형곡동),054-455-1234,2022-07-31
구미시여자단기청소년쉼터,경북,구미시,경북 구미시 원남로10길 13-3,054-444-1388,2022-07-31
경주시여자단기청소년쉼터,경북,경주시,경상북도 경주시 봉황로 168 (성건동),054-748-1388,2022-07-31
포항시여자단기청소년쉼터,경북,포항시,경상북도 포항시 북구 서동로 76,054-246-1004,2022-07-31
포항시남자중장기청소년쉼터,경북,포항시,경북 포항시 북구 중흥로 171번길 43-1,054-284-1388,2022-07-31
경상북도청소년여자쉼터,경북,안동시,경북 안동시 퇴계로 270 (안막동),054-857-6137,2022-07-31
포항시여자중장기청소년쉼터,경북,포항시,경북 포항시 남구 상공로233번길 11 (해도동),054-244-1318,2022-07-31
경상남도일시청소년쉼터(남.여),경남,창원시,경남 창원시 성산구 용지로 133번길 11(3층),055-285-7361,2022-07-31
창원시남자단기청소년쉼터(하라),경남,창원시,경남 창원시 의창구 하남천서길37번길 6-4,055-237-1318,2022-07-31
김해시여자단기청소년쉼터,경남,김해시,"경남 김해시 분성로 277, 5층",055-332-1318,2022-07-31
경상남도남자중장기청소년쉼터(마야),경남,창원시,경남 창원시 성산구 비음로55번길 14-3,055-274-0924,2022-07-31
경상남도여자중장기청소년쉼터(클라라의 집),경남,진주시,경남 진주시 석갑로 142번길 3,055-745-1316,2022-07-31
제주버프일시청소년쉼터,제주,제주시,제주 제주시 신설로 7길 4,064-723-0179,2022-07-31
제주특별자치도일시청소년쉼터(고정형),제주,제주시,제주 제주시 한림읍 명월로 324-3,064-796-0922,2022-07-31
서귀포시남자단기청소년쉼터,제주,서귀포시,제주 서귀포시 신동로 35,064-739-9805,2022-07-31
제주시여자단기청소년쉼터,제주,제주시,"제주 제주시 만덕로3길 2, 3층(건입동)",064-751-1388,2022-07-31
제주시남자중장기청소년쉼터,제주,제주시,제주 제주시 벌랑길 47(삼양삼동),064-759-1388,2022-07-31
서귀포시여자중장기청소년쉼터,제주,서귀포시,제주 서귀포시 장수로2(동홍동),064-733-1376,2022-07-31
